CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact,street_Address,state,zip-code
1001,Frodo,Baggins,12354554,"123 Shire Lane, Shire",Y,N,123 Shire Lane, Shire,
1003,Walter,White,7066950392,298 Drugs Driveway,N,,298 Drugs Driveway,,
1005,Jon,Snow,87667834,123 Dragons Road,Y,N,123 Dragons Road,,
1007,Jeff,  Winger,,1209 South Street,N,N,1209 South Street,,
1008,Sherlock,Holmes,87667834,98 Clue Drive,N,N,98 Clue Drive,,
1010,Peter,Parker,12354554,"25th Main Street, New York",Y,N,25th Main Street, New York,
1011,Samwise,Gamgee,,"612 Shire Lane, Shire",Y,N,612 Shire Lane, Shire,
1012,Harry,Potter,7066950392,2394 Hogwarts Avenue,Y,,2394 Hogwarts Avenue,,
1013,Don,Draper,12354323,2039 Main Street,Y,N,2039 Main Street,,
1014,Leslie,Knope,87667834,343 City Parkway,Y,N,343 City Parkway,,
1015,Toby,Flenderson,30476224,214 HR Avenue,N,N,214 HR Avenue,,
1016,Ron,Weasley,12354554,2395 Hogwarts Avenue,N,N,2395 Hogwarts Avenue,,
1017,Michael ,Scott,12364397,"121 Paper Avenue, Pennsylvania",Y,N,121 Paper Avenue, Pennsylvania,
1018,Clark,Kent,7066950392,3498 Super Lane,Y,,3498 Super Lane,,
1020,Anakin,Skywalker,87667834,"910 Tatooine Road, Tatooine",Y,N,910 Tatooine Road, Tatooine,
